name,salary,vacancy_link,sourse
Управляющий продажами / Руководитель отдела продаж,от 100 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51968003?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",Honey Bunny
Руководитель региона Запад,100 000 – 200 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51429064?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Звукоизоляционные Европейские Технологии
Руководитель филиала,,"<a href=""https://krasnodar.hh.ru/vacancy/52176134?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Новэксп
Руководитель отдела продаж,от 100 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/52252396?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Оконный завод Века
Руководитель отдела продаж,,"<a href=""https://krasnodar.hh.ru/vacancy/50840544?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",СИТИЛИНК
Руководитель отдела продаж,от 100 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/49953491?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ТП-Проект
Руководитель представительства,от 60 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51093699?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Практик-Центр
Помощник руководителя,от 30 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/52286465?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Технополис Элсиви
Руководитель отдела продаж,от 300 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/48861815?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Неометрия
Административный директор,,"<a href=""https://krasnodar.hh.ru/vacancy/52109181?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",АО Краснодаргоргаз
Помощник руководителя,от 35 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51687674?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ИП Передерий Денис Сергеевич
Территориальный директор,85 000 – 125 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/52084884?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",Unknown
Руководитель отдела продаж,50 000 – 100 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51360776?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",Автономная некоммерческая организация дополнительного профессионального образования «АВС-Центр»
Руководитель отдела продаж,от 70 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51803823?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Элластик-пласт
Руководитель спецчасти,от 38 149 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51947526?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",Краснодар Водоканал
Заместитель директора по общим вопросам,50 000 – 65 000 руб.,"<a href=""https://krasnodar.hh.ru/vacancy/51197546?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C"">push_to_vacancy_link</a>",ООО Масштаб
